,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
0,"ABEL, KEVIN",H8GA06377,DEM,GA,898580.07,Kevin Abel,U.S. House Georgia District 6,Representative,0.0,"('U.S. House Georgia District 6', 'Representative')",3,1604455.5799999998,0.5600529433167605
1,"ABENTROTH, TIFFANY",H8ND00120,REP,ND,0.0,Tiffany Abentroth,U.S. House North Dakota At-large District,Representative,0.0,"('U.S. House North Dakota At-large District', 'Representative')",5,2970728.85,0.0
2,"ACKISON, MELISSA",S8OH00094,REP,OH,38378.0,Melissa Ackison,U.S. Senate Ohio,Senator,0.0,"('U.S. Senate Ohio', 'Senator')",2,1144754.5,0.03352509206122361
3,"ADADI, ELIZABETH",H8FL27219,REP,FL,27268.24,Elizabeth Adadi,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.007900476658089543
4,"ADAMS, JOHN",H0OH15099,REP,OH,0.0,John Adams,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.0
6,"ALBERT, DAN",H8SC04425,REP,SC,0.0,Dan Albert,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.0
7,"ALBERTSON, ED",H6OH12127,DEM,OH,27509.82,Ed Albertson,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.003778462837915561
8,"ALBERTSON, ED",H6OH12127,DEM,OH,27509.82,Ed Albertson,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.003778462837915561
9,"ALLEN, CHAD",H8AZ08141,REP,AZ,33011.58,Chad Allen,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.004342476311310784
10,"ALLEN, KATHLEEN",H8GA07144,DEM,GA,96833.08,Kathleen Allen,U.S. House Georgia District 7,Representative,0.0,"('U.S. House Georgia District 7', 'Representative')",5,5103604.22,0.018973469694325163
11,"ALLISON, ROGER",H8NC01104,REP,NC,30384.46,Roger Allison,U.S. House North Carolina District 1,Representative,1.0,"('U.S. House North Carolina District 1', 'Representative')",1,30384.46,1.0
12,"ALLMAN, MICHAEL",H8CA52136,REP,CA,415109.45,Michael Allman,U.S. House California District 52,Representative,0.0,"('U.S. House California District 52', 'Representative')",3,1041020.89,0.3987522767194422
13,"ALLRED, COLIN",H8TX32098,DEM,TX,5972679.56,Colin Allred,U.S. House Texas District 32,Representative,1.0,"('U.S. House Texas District 32', 'Representative')",4,6811149.959999999,0.8768973807765056
14,"AMJAD, AYNE",H8WV03071,REP,WV,18650.0,Ayne Amjad,U.S. House West Virginia District 3,Representative,0.0,"('U.S. House West Virginia District 3', 'Representative')",4,201678.56,0.09247388517649074
15,"ANDERSON, BOB",S8MN00594,REP,MN,9800.0,Bob Anderson,U.S. Senate Minnesota,Senator,0.0,"('U.S. Senate Minnesota', 'Senator')",4,4707609.09,0.0020817361451734304
16,"ANDERSON, MERRILL",S8MN00644,REP,MN,0.0,Merrill Anderson,U.S. Senate Minnesota,Senator,0.0,"('U.S. Senate Minnesota', 'Senator')",4,4707609.09,0.0
17,"ANDERSON, RAE HART",S8MN00677,REP,MN,0.0,Rae Hart Anderson,U.S. Senate Minnesota,Senator,0.0,"('U.S. Senate Minnesota', 'Senator')",4,4707609.09,0.0
18,"ANDREI, LINDA",H8NY23225,DEM,NY,283984.38,Linda Andrei,U.S. House New York District 23,Representative,0.0,"('U.S. House New York District 23', 'Representative')",3,2180511.32,0.1302375169508407
21,"ARELLANO, SERGIO",H8AZ03142,REP,AZ,40346.71,Sergio Arellano,U.S. House Arizona District 3,Representative,0.0,"('U.S. House Arizona District 3', 'Representative')",2,53434.99,0.7550616178649983
22,"ARMSTRONG, KELLY",H8ND00096,REP,ND,1769588.98,Kelly Armstrong,U.S. House North Dakota At-large District,Representative,1.0,"('U.S. House North Dakota At-large District', 'Representative')",5,2970728.85,0.5956750243294672
23,"ARORA, HARRY",H8CT04214,REP,CT,754776.65,Harry Arora,U.S. House Connecticut District 4,Representative,1.0,"('U.S. House Connecticut District 4', 'Representative')",1,754776.65,1.0
24,"ARPAIO, JOE",S8AZ00247,REP,AZ,1455917.62,Joe Arpaio,U.S. Senate Arizona,Senator,0.0,"('U.S. Senate Arizona', 'Senator')",2,4829192.9,0.3014825976406948
25,"ASHFORD, BRAD",H4NE02054,DEM,NE,640016.12,Brad Ashford,U.S. House Nebraska District 2,Representative,0.0,"('U.S. House Nebraska District 2', 'Representative')",2,3272738.0300000003,0.19555983831678697
26,"AXNE, CINDY",H8IA03124,DEM,IA,5243411.69,Cindy Axne,U.S. House Iowa District 3,Representative,1.0,"('U.S. House Iowa District 3', 'Representative')",2,5615689.54,0.9337075443098659
27,"BACHER, STEVE",H8PA08166,DEM,PA,54625.86,Steve Bacher,U.S. House Pennsylvania District 1,Representative,0.0,"('U.S. House Pennsylvania District 1', 'Representative')",2,556391.87,0.0981787530432463
28,"BACON, KEVIN",H8OH12222,REP,OH,322796.69,Kevin Bacon,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.04433599701369
29,"BACON, KEVIN",H8OH12222,REP,OH,322796.69,Kevin Bacon,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.04433599701369
30,"BALAT, DAVID",H8TX07082,REP,TX,180021.54,David Balat,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.047554968676529676
31,"BALDERSON, TROY",H8OH12180,REP,OH,2543070.4,Troy Balderson,U.S. House Ohio District 12,Representative,1.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.34928970820612637
32,"BALDERSON, TROY",H8OH12180,REP,OH,2543070.4,Troy Balderson,U.S. House Ohio District 12,Representative,1.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.34928970820612637
33,"BALL, DAN",H8CA36162,REP,CA,19259.0,Dan Ball,U.S. House California District 36,Representative,0.0,"('U.S. House California District 36', 'Representative')",4,878444.34,0.021923984392682182
35,"BALTER, DANA",H8NY24090,DEM,NY,2735634.41,Dana Balter,U.S. House New York District 24,Representative,1.0,"('U.S. House New York District 24', 'Representative')",2,2917440.85,0.9376829045222974
36,"BARASH, YONA",H8CA07072,REP,CA,321947.52,Yona Barash,U.S. House California District 7,Representative,0.0,"('U.S. House California District 7', 'Representative')",2,887961.72,0.36256914318333455
37,"BARLETTA, LOU",S8PA00320,REP,PA,7407078.74,Lou Barletta,U.S. Senate Pennsylvania,Senator,1.0,"('U.S. Senate Pennsylvania', 'Senator')",1,7407078.74,1.0
38,"BARLOW, DAWN",H8TN06128,DEM,TN,44570.15,Dawn Barlow,U.S. House Tennessee District 6,Representative,1.0,"('U.S. House Tennessee District 6', 'Representative')",4,398608.39999999997,0.11181437721834263
39,"BARNHART, RACHEL",H8NY25121,DEM,NY,34613.05,Rachel Barnhart,U.S. House New York District 25,Representative,0.0,"('U.S. House New York District 25', 'Representative')",2,111302.89,0.3109806942119832
40,"BARONESS VON BEHR, IRINA",H8AZ09016,REP,AZ,21989.38,Irina Baroness Von Behr,U.S. House Arizona District 9,Representative,0.0,"('U.S. House Arizona District 9', 'Representative')",1,21989.38,1.0
41,"BARREIRO, BRUNO",H8FL27037,REP,FL,578578.0,Bruno Barreiro,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.16763245386882802
42,"BARRERA, RAUL (ROY)",H6TX27092,DEM,TX,12296.18,Raul (Roy) Barrera,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.007355415383585399
43,"BARRINGTON, MARK",H8CO07094,REP,CO,54976.96,Mark Barrington,U.S. House Colorado District 7,Representative,1.0,"('U.S. House Colorado District 7', 'Representative')",1,54976.96,1.0
44,"BASSILIAN, RON",H8CA37293,REP,CA,10387.55,Ron Bassilian,U.S. House California District 34,Representative,1.0,"('U.S. House California District 34', 'Representative')",1,10387.55,1.0
45,"BATESON, REGINA",H8CA04194,DEM,CA,804901.59,Regina Bateson,U.S. House California District 4,Representative,0.0,"('U.S. House California District 4', 'Representative')",3,4618138.96,0.1742913318485332
46,"BAXTER, RALPH",H8WV01067,DEM,WV,652981.25,Ralph Baxter,U.S. House West Virginia District 1,Representative,0.0,"('U.S. House West Virginia District 1', 'Representative')",2,652981.25,1.0
47,"BEAL, BRENT",H8TX01044,DEM,TX,76235.51,Brent Beal,U.S. House Texas District 1,Representative,0.0,"('U.S. House Texas District 1', 'Representative')",1,76235.51,1.0
