,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
0,Mike Dunleavy,AK,Governor of Alaska,Governor,Regular,8/21/18,Advanced,,On the Ballot,61.8,Yes,,No,,,,,,,,,,,,
1,Michael Sheldon,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,2.2,No,,No,,,,,,,,,,,,
2,Mead Treadwell,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,31.9,No,,No,,,,,,,,,,,,
3,Darin Colbry,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,0.6,No,,No,,,,,,,,,,,,
4,Thomas Gordon,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,1.3,No,,No,,,,,,,,,,,,
5,Merica Hlatcu,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,1.5,No,,No,,,,,,,,,,,,
6,Gerald Heikes,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,,,0.7,No,,No,,,,,,,,,,,,
7,Steve Smith,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,,,37.8,No,Yes,No,,,,,,Yes,,,Yes,,,
8,Wendy Rogers,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,,On the Ballot,43.4,Yes,Yes,No,,,,,,No,,,No,,,
9,Tiffany Shedd,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,,,18.8,No,Yes,No,,,,,,No,,,No,,,
10,Lea Marquez Peterson,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Advanced,,On the Ballot,33.6,Yes,Yes,No,,,,,,,Yes,,,,,
11,Casey Welch,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,,,21.4,No,No,No,,,,,,,No,,,,,
12,Danny Morales,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,,,15.9,No,No,No,,,,,,,No,,,,,
13,Brandon Martin,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,,,29.1,No,No,No,,,,,,,No,,,,,
14,Edna San Miguel,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,,,21.4,No,,No,,,,,,,,,,,,
15,Sergio Arellano,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,,,27.3,No,,No,,,,,,,,,,,,
16,Nicolas Pierson,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Advanced,,On the Ballot,51.4,Yes,,No,,,,,,,,,,,,
17,Debbie Lesko,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,,On the Ballot,35.77,Yes,,No,,,,,Yes,,Yes,Yes,,,,
18,Bob Stump,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,5.37,No,,No,,,,,No,,No,No,,,,
19,Clair Van Steenwyk,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,2.37,No,,No,,,,,No,,No,No,,,,
20,Phil Lovas,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,23.88,No,,No,,,,,No,,No,No,,,,
21,Richard Mack,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.42,No,,No,,,,,No,,No,No,,,,
22,Stephen Dolgos,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,0.48,No,,No,,,,,No,,No,No,,,,
23,Steve Montenegro,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,23.82,No,,No,,,,,No,,No,No,,,,
24,Christopher Sylvester,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.92,No,,No,,,,,No,,No,No,,,,
25,David Lien,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.77,No,,No,,,,,No,,No,No,,,,
26,Chad Allen,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.05,No,,No,,,,,No,,No,No,,,,
27,Brenden Dilley,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.03,No,,No,,,,,No,,No,No,,,,
28,Mark Yates,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,,,1.12,No,,No,,,,,No,,No,No,,,,
29,Dave Giles,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,,,33.3,No,No,No,,,,,,,,,,,,
